,tweet_id,timestamp,expanded_urls,rating_numerator,rating_denominator,name,stage,jpg_url,img_num,Prediction,breed,favorite_count,retweet_count,url
1168,717047459982213120,2016-04-15 15:44:11,https://twitter.com/dog_rates/status/721001180231503872/photo/1,11,10,Oliver,pupper,https://pbs.twimg.com/media/CjbExRKUoAAs089.jpg,2.0,dog,cocker spaniel,5807.0,1742.0,https://t.co/fGgleFiBPq
1177,715928423106027520,2016-04-12 01:51:36,https://twitter.com/dog_rates/status/719704490224398336/photo/1,12,10,Clyde,pupper,https://pbs.twimg.com/media/Cj0xdMBVAAEbDHp.jpg,1.0,mixed,malamute,2936.0,796.0,https://t.co/3BhMojONxq
1197,714141408463036416,2016-04-04 15:22:08,https://twitter.com/dog_rates/status/717009362452090881/photo/1,10,10,Smokey,pupper,https://pbs.twimg.com/media/Ckdpx5KWsAANF6b.jpg,1.0,mixed,Norwegian elkhound,4010.0,1282.0,https://t.co/O2RlKXigHu
1201,713761197720473600,2016-04-03 02:08:05,https://vine.co/v/eMmXVPn5eQK,13,10,Ozzy,pupper,https://pbs.twimg.com/media/CkjMx99UoAM2B1a.jpg,1.0,dog,golden retriever,4470.0,1244.0,https://t.co/QP6GHi5az9
1243,709409458133323776,2016-03-21 17:30:03,https://twitter.com/dog_rates/status/711968124745228288/photo/1,10,10,Winston,pupper,https://pbs.twimg.com/media/Cl6odlVWQAIy5uk.jpg,2.0,mixed,Shetland sheepdog,2428.0,617.0,https://t.co/Yu0K98VZ9A
1250,708853462201716736,2016-03-19 01:54:56,https://twitter.com/dog_rates/status/711008018775851008/photo/1,11,10,Chuckles,pupper,https://pbs.twimg.com/media/CmEGMSvUYAAl3ZM.jpg,1.0,dog,kuvasz,1666.0,594.0,https://t.co/RXjEwpVJf0
1327,703611486317502464,2016-03-05 04:36:02,"https://twitter.com/dog_rates/status/705975130514706432/photo/1,https://twitter.com/dog_rates/status/705975130514706432/photo/1",10,10,Adele,pupper,https://pbs.twimg.com/media/CoLNAq6WAAAkmdJ.jpg,2.0,dog,Labrador retriever,3550.0,1384.0,https://t.co/JSmX1FIEaW
1355,700847567345688576,2016-02-27 16:03:45,https://twitter.com/dog_rates/status/703611486317502464/photo/1,10,10,Scooter,pupper,https://pbs.twimg.com/ext_tw_video_thumb/760289324994879489/pu/img/3ItvBEoo4aebPfvr.jpg,1.0,dog,Old English sheepdog,2277.0,452.0,https://t.co/110Eeg7KW3
1379,699079609774645248,2016-02-21 23:13:01,https://twitter.com/dog_rates/status/701545186879471618/photo/1,10,10,Millie,pupper,https://pbs.twimg.com/media/Cp1R0ZTWcAAaPO4.jpg,1.0,dog,Bernese mountain dog,2259.0,574.0,https://t.co/A2j2StfNgL
1395,697995514407682048,2016-02-17 03:45:29,"https://twitter.com/dog_rates/status/699801817392291840/photo/1,https://twitter.com/dog_rates/status/699801817392291840/photo/1,https://twitter.com/dog_rates/status/699801817392291840/photo/1,https://twitter.com/dog_rates/status/699801817392291840/photo/1",11,10,Cooper,pupper,https://pbs.twimg.com/media/CqedCQWWgAIab9L.jpg,1.0,mixed,vizsla,1413.0,305.0,https://t.co/yAASRDPJnQ
1441,694183373896572928,2016-02-09 02:07:12,https://twitter.com/dog_rates/status/696877980375769088/photo/1,9,10,Misty,pupper,https://pbs.twimg.com/media/CsGnz64WYAEIDHJ.jpg,1.0,dog,chow,2709.0,843.0,https://t.co/pVebzwRioD
1458,693109034023534592,2016-02-04 02:40:08,https://twitter.com/dog_rates/status/695074328191332352/photo/1,11,10,Lorenzo,pupper,https://pbs.twimg.com/media/CsuaUH2WAAAWJh1.jpg,1.0,dog,Afghan hound,1564.0,551.0,https://t.co/NY3cPAZAIM
1467,692535307825213440,2016-02-02 01:21:07,https://twitter.com/dog_rates/status/694329668942569472/photo/1,9,10,Grady,pupper,https://pbs.twimg.com/media/Cs6r_-kVIAALh1p.jpg,1.0,dog,Staffordshire bullterrier,2909.0,1237.0,https://t.co/Dt360V2MYI
1489,690938899477221376,2016-01-29 03:03:25,https://twitter.com/dog_rates/status/692905862751522816/photo/1,10,10,Wally,pupper,https://pbs.twimg.com/media/CtxZTtxUMAEduGo.jpg,1.0,dog,malamute,3778.0,1751.0,https://t.co/HSL3mnP5NX
1498,690374419777196032,2016-01-27 18:42:06,https://twitter.com/dog_rates/status/692417313023332352/photo/1,7,10,Herschel,pupper,https://pbs.twimg.com/media/CuA-iRHXYAAWP8e.jpg,3.0,dog,chow,2974.0,763.0,https://t.co/VpfFCKE28C
1575,685943807276412928,2016-01-14 03:28:06,https://twitter.com/dog_rates/status/687476254459715584/photo/1,11,10,Curtis,pupper,https://pbs.twimg.com/media/CwwSaWJWIAASuoY.jpg,1.0,mixed,golden retriever,1499.0,536.0,https://t.co/wbAcvFoNtn
1608,684200372118904832,2016-01-09 01:59:19,https://twitter.com/dog_rates/status/685641971164143616/photo/1,7,10,Otis,pupper,https://pbs.twimg.com/media/CxzXOyBW8AEu_Oi.jpg,2.0,dog,cocker spaniel,1985.0,945.0,https://t.co/jkCb25OWfh
1657,681654059175129088,2016-01-02 04:27:31,https://twitter.com/dog_rates/status/683142553609318400/photo/1,9,10,Brandy,pupper,https://pbs.twimg.com/media/C0DhpcrUAAAnx88.jpg,1.0,dog,flat-coated retriever,2421.0,819.0,https://t.co/oEXEKt3MHu
1658,681610798867845120,2016-01-02 02:23:45,https://twitter.com/dog_rates/status/683111407806746624/photo/1,10,10,Larry,pupper,https://pbs.twimg.com/media/C0EyPZbXAAAceSc.jpg,1.0,dog,golden retriever,1732.0,418.0,https://t.co/C7M8mnzHIK
1705,679736210798047232,2015-12-26 19:43:36,"https://twitter.com/dog_rates/status/680836378243002368/photo/1,https://twitter.com/dog_rates/status/680836378243002368/photo/1,https://twitter.com/dog_rates/status/680836378243002368/photo/1",12,10,Ellie,pupper,https://pbs.twimg.com/ext_tw_video_thumb/817423809049493505/pu/img/5OFW0yueFu9oTUiQ.jpg,1.0,mixed,Samoyed,1913.0,717.0,https://t.co/iazoiNUviP
1713,679462823135686656,2015-12-25 19:39:43,https://twitter.com/dog_rates/status/680473011644985345/photo/1,10,10,Hector,pupper,https://pbs.twimg.com/media/C1xNgraVIAA3EVb.jpg,4.0,dog,Chihuahua,29401.0,17007.0,https://t.co/M6vqkt2GKV
1720,679047485189439488,2015-12-24 22:00:10,"https://twitter.com/dog_rates/status/680145970311643136/photo/1,https://twitter.com/dog_rates/status/680145970311643136/photo/1,https://twitter.com/dog_rates/status/680145970311643136/photo/1",10,10,Kawhi,pupper,https://pbs.twimg.com/media/C17n1nrWQAIErU3.jpg,3.0,dog,Rottweiler,2057.0,587.0,https://t.co/kTpr9PTMg1
1740,678380236862578688,2015-12-23 03:26:43,https://twitter.com/dog_rates/status/679503373272485890/photo/1,8,10,Dwight,pupper,https://pbs.twimg.com/media/C2oRbOuWEAAbVSl.jpg,1.0,dog,Samoyed,2241.0,822.0,https://t.co/a0Zx5LDFZa
1768,677269281705472000,2015-12-20 01:38:42,https://twitter.com/dog_rates/status/678389028614488064/photo/1,11,10,Bella,pupper,https://pbs.twimg.com/media/C3rN-lcWEAA9CmR.jpg,4.0,dog,Great Dane,1797.0,636.0,https://t.co/ep8ATEJwRb
1817,675822767435051008,2015-12-15 03:23:14,https://twitter.com/dog_rates/status/676603393314578432/photo/1,9,10,Godzilla,pupper,https://pbs.twimg.com/media/C5NFIsjWQAEI93t.jpg,1.0,mixed,Labrador retriever,1385.0,475.0,https://t.co/GK2HJtkdQk
1880,674422304705744896,2015-12-10 17:37:00,https://twitter.com/dog_rates/status/675006312288268288/photo/1,10,10,Mollie,pupper,https://pbs.twimg.com/media/C8C0JYHW0AAy-7u.jpg,2.0,dog,Shetland sheepdog,1284.0,467.0,https://t.co/BxTJAFSIgk
1889,674271431610523648,2015-12-10 02:15:47,https://twitter.com/dog_rates/status/674774481756377088/photo/1,11,10,Superpup,pupper,https://pbs.twimg.com/media/C8XbDR1WAAAxND8.jpg,1.0,dog,malamute,1394.0,645.0,https://t.co/3aXX6wH6it
1897,674053186244734976,2015-12-09 23:47:22,https://twitter.com/dog_rates/status/674737130913071104/photo/1,10,10,Rufio,pupper,https://pbs.twimg.com/ext_tw_video_thumb/850380153985355777/pu/img/lFouhg-EZvJs8eMr.jpg,1.0,dog,Yorkshire terrier,2953.0,1130.0,https://t.co/gQAMg5ypW5
1915,673708611235921920,2015-12-08 20:01:55,https://twitter.com/dog_rates/status/674318007229923329/photo/1,8,10,Lennon,pupper,https://pbs.twimg.com/media/C9tQokgUIAEETSx.jpg,1.0,dog,Pembroke,954.0,256.0,https://t.co/kLV8zUCfc8
1930,673576835670777856,2015-12-08 01:30:12,https://twitter.com/dog_rates/status/674038233588723717/photo/1,12,10,Kaiya,pupper,https://pbs.twimg.com/media/C-s5oYZXkAAMHHq.jpg,1.0,dog,golden retriever,1233.0,486.0,https://t.co/WlKiN3ll0w
1945,673148804208660480,2015-12-07 03:34:14,"https://twitter.com/dog_rates/status/673707060090052608/photo/1,https://twitter.com/dog_rates/status/673707060090052608/photo/1",10,10,Raymond,pupper,https://pbs.twimg.com/media/C_bIo7QXYAAGfPu.jpg,2.0,dog,chow,1491.0,549.0,https://t.co/tA4WpkI2cw
1948,672988786805112832,2015-12-07 02:58:09,"https://twitter.com/dog_rates/status/673697980713705472/photo/1,https://twitter.com/dog_rates/status/673697980713705472/photo/1",8,10,Pickles,pupper,https://pbs.twimg.com/media/C_lkieeVwAAm0L4.jpg,2.0,dog,Australian terrier,878.0,254.0,https://t.co/a3zYMcvbXG
1970,672523490734551040,2015-12-06 00:17:55,https://twitter.com/dog_rates/status/673295268553605120/photo/1,8,10,Eve,pupper,https://pbs.twimg.com/media/DA7iHL5U0AA1OQo.jpg,1.0,mixed,French bulldog,551.0,146.0,https://t.co/EH0N3dFKUi
1974,672475084225949696,2015-12-05 14:35:56,https://twitter.com/dog_rates/status/673148804208660480/photo/1,8,10,Fletcher,pupper,https://pbs.twimg.com/media/DBINZcxXgAQ-R6P.jpg,1.0,dog,Pembroke,1296.0,607.0,https://t.co/mYhQvAdV4f
1980,672254177670729728,2015-12-05 03:05:49,https://twitter.com/dog_rates/status/672975131468300288/photo/1,10,10,Chuckles,pupper,https://pbs.twimg.com/media/DBaHi3YXgAE6knM.jpg,1.0,mixed,kelpie,1274.0,652.0,https://t.co/OO6MqEbqG3
1981,672248013293752320,2015-12-05 02:46:02,https://twitter.com/dog_rates/status/672970152493887488/photo/1,7,10,Chet,pupper,https://pbs.twimg.com/media/DBg_HT9WAAEeIMM.jpg,2.0,mixed,komondor,1530.0,524.0,https://t.co/uhx5gfpx5k
1985,672222792075620352,2015-12-04 22:00:08,https://twitter.com/dog_rates/status/672898206762672129/photo/1,11,10,Cheryl,pupper,https://pbs.twimg.com/media/DBrlZk2UQAAfAkd.jpg,2.0,dog,Labrador retriever,700.0,176.0,https://t.co/EW4MsOrF5O
2002,671768281401958400,2015-12-03 18:23:34,https://twitter.com/dog_rates/status/672481316919734272/photo/1,12,10,Jazz,pupper,https://pbs.twimg.com/media/DCsnnZsVwAEfkyi.jpg,1.0,dog,bloodhound,1051.0,434.0,https://t.co/TASnD8Q08S
2015,671533943490011136,2015-12-03 00:07:09,https://twitter.com/dog_rates/status/672205392827572224/photo/1,9,10,Opal,pupper,https://pbs.twimg.com/media/DDSVWMvXsAEgmMK.jpg,1.0,mixed,German short-haired pointer,899.0,495.0,https://t.co/pcx8jm1J1K
